Parameter,Band 1: 160m,Band 2: 80m,Band 3: 60m/40m,Band 4: 30m,Band 5: 20m/17m,Band 6: 15m/12m,Band 7: 10m
"Frequency Range (MHz)","1.8 - 2.0","3.5 - 4.0","5.3 - 7.3","10.0 - 10.5","14.0 - 18.5","21.0 - 25.0","28.0 - 29.7"
"Center Freq (MHz)",1.90,3.74,6.22,10.25,16.10,22.90,28.80
"Bandwidth (MHz)",0.2,0.5,2.0,0.5,4.5,4.0,1.7
"","","","","","","",""
"-- CALCULATED VALUES --","","","","","","",""
"L_calc (µH)",10.0,4.7,2.2,1.5,1.0,0.5,0.33
"C_tank_calc (pF)",704.0,385.5,298.5,161.2,98.2,96.5,92.2
"C_coupling_calc (pF)",68.1,47.3,88.3,7.2,25.2,15.5,5.0
"Ca_calc (pF)",888.0,509.0,520.0,191.0,155.0,147.0,118.0
"Cb_calc (pF)",3400.0,1592.0,702.0,1028.0,268.0,281.0,421.0
"","","","","","","",""
"-- PRACTICAL COMPONENTS --","","","","","","",""
"L1, L2, L3 (µH)",10.0,4.7,2.2,1.5,1.0,0.5,0.33
"C_coupling (pF)",68,47,82,6.8,25,15,5.1
"","","","","","","",""
"Middle Resonator (Tank #2)","","","","","","",""
"C2_fixed (pF)",680,330,270,150,82,82,82
"C2_trimmer (pF)",60,100,60,30,30,30,20
"","","","","","","",""
"End Resonators (Tanks #1, #3)","","","","","","",""
"Ca_1 (pF)",820,510,510,180,150,150,120
"Ca_2 (pF)",68,N/A,N/A,N/A,N/A,N/A,N/A
"Cb_fixed (pF)",3300,1500,680,1000,220,270,390
"Cb_trimmer (pF)",120,120,60,60,60,30,60
